112;arms_factory;2672.00;10.13;1320.00;1.04;0
112;arms_factory;2673.00;10.13;1324.00;3.71;0
112;arms_factory;2670.00;9.60;1333.00;1.55;0
112;arms_factory;2675.00;10.45;1322.00;1.65;0
112;arms_factory;2671.00;9.70;1308.00;5.77;0
112;arms_factory;2669.00;9.55;1327.00;2.16;0
112;industrial_complex;2676.00;9.80;1306.00;6.28;0
112;industrial_complex;2669.00;10.00;1313.00;1.55;0
112;industrial_complex;2674.00;10.53;1328.00;4.22;0
112;industrial_complex;2673.00;9.75;1311.00;2.05;0
112;industrial_complex;2675.00;11.03;1334.00;3.26;0
112;industrial_complex;2674.00;10.32;1324.00;0.00;0
112;air_base;2668.08;9.70;1308.27;3.06;0
112;naval_base;2670.00;9.55;1334.00;-1.89;1614
112;naval_base;2664.00;9.53;1297.00;-1.25;1614
112;bunker;2664.00;9.50;1296.00;0.67;0
112;bunker;2669.00;9.85;1317.00;2.22;0
112;coastal_bunker;2663.00;9.50;1295.00;-1.25;0
112;coastal_bunker;2669.00;9.53;1330.00;-2.55;0
112;synthetic_refinery;2671.00;9.80;1331.00;4.45;0
112;nuclear_reactor;2670.00;10.13;1316.00;2.39;0
1;arms_factory;2802.00;11.57;179.00;2.47;0
1;arms_factory;2768.00;12.00;179.00;5.13;0
1;arms_factory;2632.00;11.60;86.00;1.52;0
1;arms_factory;2780.00;11.85;195.00;4.54;0
1;arms_factory;2819.00;10.48;161.00;5.74;0
1;arms_factory;2645.00;11.60;96.00;3.58;0
1;industrial_complex;2755.00;11.65;185.00;5.14;0
1;industrial_complex;2795.00;11.25;145.00;1.52;0
1;industrial_complex;2706.00;10.28;108.00;4.19;0
1;industrial_complex;2779.00;11.60;155.00;2.03;0
1;industrial_complex;2715.00;11.45;161.00;5.05;0
1;industrial_complex;2681.00;11.60;105.00;6.25;0
1;air_base;2748.00;11.20;168.00;4.09;0
1;naval_base;2823.00;10.13;135.00;0.32;32
1;naval_base;2701.00;10.45;95.00;1.33;31
1;naval_base;2640.00;10.38;82.00;-0.52;30
1;naval_base;2714.00;9.50;100.00;-0.12;31
1;naval_base;2726.00;10.03;184.00;-1.28;41
1;naval_base;2703.00;10.05;149.00;-1.92;41
1;naval_base;2744.00;9.50;123.00;0.74;31
1;naval_base;2676.00;9.93;118.00;-2.76;41
1;naval_base;2775.00;9.50;243.00;-1.75;93
1;naval_base;2774.00;9.50;131.00;-0.73;31
1;naval_base;2708.00;9.50;161.00;-2.26;41
1;naval_base;2757.00;9.50;127.00;0.69;31
1;naval_base;2763.00;9.50;217.00;-2.06;93
1;bunker;2701.00;10.55;108.00;3.66;0
1;bunker;2707.00;11.40;132.00;0.04;0
1;bunker;2806.00;11.60;166.00;2.70;0
1;bunker;2686.00;11.15;65.00;5.72;0
1;bunker;2768.00;11.70;155.00;0.64;0
1;bunker;2711.00;10.65;155.00;4.76;0
1;bunker;2742.00;10.30;115.00;2.61;0
1;bunker;2738.00;11.88;140.00;2.71;0
1;bunker;2630.00;11.60;83.00;0.55;0
1;bunker;2766.00;10.10;134.00;3.21;0
1;bunker;2734.00;11.03;175.00;4.77;0
1;bunker;2692.00;11.60;117.00;1.16;0
1;bunker;2777.00;11.90;196.00;5.28;0
1;bunker;2806.00;11.10;186.00;0.20;0
1;bunker;2712.00;11.30;127.00;3.22;0
1;bunker;2789.00;11.60;250.00;5.88;0
1;coastal_bunker;2630.00;9.63;73.00;-0.52;0
1;coastal_bunker;2702.00;10.32;93.00;1.33;0
1;coastal_bunker;2713.00;9.50;91.00;-0.12;0
1;coastal_bunker;2742.00;9.65;110.00;0.74;0
1;coastal_bunker;2808.00;9.50;144.00;0.32;0
1;coastal_bunker;2775.00;9.78;225.00;-1.75;0
1;coastal_bunker;2705.00;9.65;151.00;-1.92;0
1;coastal_bunker;2744.00;9.63;192.00;-3.21;0
1;coastal_bunker;2708.00;9.50;156.00;-2.26;0
1;coastal_bunker;2792.00;9.50;136.00;1.07;0
1;coastal_bunker;2754.00;9.98;135.00;0.69;0
1;coastal_bunker;2690.00;10.07;131.00;-2.76;0
1;coastal_bunker;2770.00;9.68;221.00;-2.06;0
1;dockyard;2621.00;9.50;70.00;-0.52;0
1;anti_air_building;2749.00;10.98;192.00;3.29;0
1;anti_air_building;2793.00;11.57;148.00;5.95;0
1;anti_air_building;2702.00;10.95;112.00;2.33;0
1;synthetic_refinery;2773.00;11.60;206.00;3.89;0
1;radar_station;2721.00;11.55;157.00;3.08;0
1;rocket_site;2687.00;10.07;56.00;4.40;0
1;nuclear_reactor;2783.00;11.60;222.00;0.78;0
2;arms_factory;2890.00;10.90;113.00;1.52;0
2;arms_factory;2784.00;11.45;265.00;4.54;0
2;arms_factory;2870.00;12.05;178.00;5.74;0
2;arms_factory;2887.00;11.40;172.00;3.58;0
2;arms_factory;2841.00;11.40;298.00;5.14;0
2;arms_factory;2943.00;10.80;215.00;1.52;0
2;industrial_complex;2835.00;11.85;180.00;4.19;0
2;industrial_complex;2910.00;10.45;215.00;2.03;0
2;industrial_complex;2814.00;11.70;231.00;5.05;0
2;industrial_complex;2888.00;11.63;206.00;6.25;0
2;industrial_complex;2966.00;11.80;245.00;4.09;0
2;industrial_complex;2886.00;11.50;240.00;0.47;0
2;air_base;2872.00;11.55;277.00;2.04;0
